todays_date, local_time, universal_time, ip_address
10/07/20, 11:15:27 AM, 15:15:27 UTC, 127.0.0.1
10/07/20, 11:16:17 AM, 15:16:17 UTC, 127.0.0.1
10/07/20, 11:46:59 AM, 15:46:59 UTC, 127.0.0.1
10/07/20, 11:49:14 AM, 15:49:14 UTC, 127.0.0.1
10/07/20, 12:28:48 PM, 16:28:48 UTC, 127.0.0.1
10/07/20, 12:36:18 PM, 16:36:18 UTC, 127.0.0.1
10/07/20, 12:36:55 PM, 16:36:55 UTC, 127.0.0.1
10/07/20, 12:57:20 PM, 16:57:20 UTC, 127.0.0.1
10/07/20, 16:37:14 PM, 20:37:14 UTC, 127.0.0.1
10/07/20, 16:40:03 PM, 20:40:03 UTC, 127.0.0.1
10/07/20, 16:53:29 PM, 20:53:29 UTC, 127.0.0.1
10/07/20, 20:09:45 PM, 00:09:45 UTC, 127.0.0.1
10/08/20, 09:15:25 AM, 13:15:25 UTC, 127.0.0.1
10/08/20, 10:18:12 AM, 14:18:12 UTC, 127.0.0.1
10/08/20, 15:31:07 PM, 19:31:07 UTC, 127.0.0.1
10/08/20, 16:01:09 PM, 20:01:09 UTC, 127.0.0.1
10/08/20, 16:19:13 PM, 20:19:13 UTC, 127.0.0.1
12/15/20, 15:44:47 PM, 20:44:47 UTC, 127.0.0.1
12/16/20, 13:33:15 PM, 18:33:15 UTC, 127.0.0.1
12/16/20, 13:33:28 PM, 18:33:28 UTC, 127.0.0.1
12/16/20, 13:33:43 PM, 18:33:43 UTC, 127.0.0.1
12/16/20, 14:56:17 PM, 19:56:17 UTC, 127.0.0.1
12/16/20, 14:56:38 PM, 19:56:38 UTC, 127.0.0.1
12/16/20, 14:57:18 PM, 19:57:18 UTC, 127.0.0.1
12/16/20, 14:57:52 PM, 19:57:52 UTC, 127.0.0.1
12/16/20, 19:25:07 PM, 00:25:07 UTC, 127.0.0.1
12/17/20, 10:30:52 AM, 15:30:52 UTC, 127.0.0.1
12/17/20, 21:20:13 PM, 02:20:13 UTC, 127.0.0.1
12/17/20, 21:31:18 PM, 02:31:18 UTC, 127.0.0.1
12/17/20, 21:31:34 PM, 02:31:34 UTC, 127.0.0.1
12/17/20, 21:54:52 PM, 02:54:52 UTC, 127.0.0.1
12/17/20, 22:03:10 PM, 03:03:10 UTC, 127.0.0.1
12/17/20, 22:10:54 PM, 03:10:54 UTC, 127.0.0.1
12/17/20, 22:11:03 PM, 03:11:03 UTC, 127.0.0.1
12/17/20, 22:11:13 PM, 03:11:13 UTC, 127.0.0.1
12/17/20, 22:11:21 PM, 03:11:21 UTC, 127.0.0.1
12/17/20, 22:11:30 PM, 03:11:30 UTC, 127.0.0.1
12/17/20, 22:11:51 PM, 03:11:51 UTC, 127.0.0.1
12/17/20, 22:14:13 PM, 03:14:13 UTC, 127.0.0.1
12/17/20, 22:28:22 PM, 03:28:22 UTC, 127.0.0.1
12/17/20, 22:44:50 PM, 03:44:50 UTC, 127.0.0.1
12/17/20, 22:45:42 PM, 03:45:42 UTC, 127.0.0.1
12/17/20, 22:45:48 PM, 03:45:48 UTC, 127.0.0.1
12/17/20, 22:45:57 PM, 03:45:57 UTC, 127.0.0.1
12/17/20, 22:47:01 PM, 03:47:01 UTC, 127.0.0.1
12/17/20, 22:47:12 PM, 03:47:12 UTC, 127.0.0.1
12/17/20, 22:50:12 PM, 03:50:12 UTC, 127.0.0.1
12/17/20, 22:58:24 PM, 03:58:24 UTC, 127.0.0.1
12/19/20, 21:08:36 PM, 02:08:36 UTC, 127.0.0.1